run,epoch,train_loss,test_loss,train_accuracy,test_accuracy
numpy_mlp_breast_cancer,1,0.34389880299568176,0.3137112259864807,0.8779342723004695,0.916083916083916
numpy_mlp_breast_cancer,2,0.2737000286579132,0.2576819956302643,0.9154929577464789,0.9300699300699301
numpy_mlp_breast_cancer,3,0.2358546406030655,0.22628533840179443,0.9248826291079812,0.9440559440559441
numpy_mlp_breast_cancer,4,0.21144136786460876,0.20623692870140076,0.9295774647887324,0.9370629370629371
numpy_mlp_breast_cancer,5,0.19383801519870758,0.19173438847064972,0.9342723004694836,0.9440559440559441
numpy_mlp_breast_cancer,6,0.18020136654376984,0.1803521066904068,0.9413145539906104,0.9440559440559441
numpy_mlp_breast_cancer,7,0.16947819292545319,0.17133793234825134,0.9436619718309859,0.9440559440559441
numpy_mlp_breast_cancer,8,0.160466268658638,0.16382639110088348,0.9460093896713615,0.9440559440559441
numpy_mlp_breast_cancer,9,0.15285645425319672,0.1573055535554886,0.9483568075117371,0.951048951048951
numpy_mlp_breast_cancer,10,0.14629510045051575,0.15178857743740082,0.9507042253521126,0.951048951048951
numpy_mlp_breast_cancer,11,0.140534445643425,0.1468900740146637,0.9507042253521126,0.951048951048951
numpy_mlp_breast_cancer,12,0.1355910301208496,0.14253339171409607,0.9553990610328639,0.951048951048951
numpy_mlp_digits,1,1.2468940019607544,1.3350797891616821,0.651818856718634,0.6066666666666667
numpy_mlp_digits,2,0.8076490759849548,0.8822523355484009,0.8129175946547884,0.7644444444444445
numpy_mlp_digits,3,0.5951656103134155,0.6648067831993103,0.8634001484780994,0.8222222222222222
numpy_mlp_digits,4,0.4757949709892273,0.5384710431098938,0.896807720861173,0.8555555555555555
numpy_mlp_digits,5,0.39737874269485474,0.46262016892433167,0.9086859688195991,0.8733333333333333
numpy_mlp_digits,6,0.3427794277667999,0.4076993763446808,0.9198218262806236,0.8866666666666667
numpy_mlp_digits,7,0.30230969190597534,0.3666843771934509,0.9287305122494433,0.8933333333333333
numpy_mlp_digits,8,0.2707473337650299,0.3348088264465332,0.9406087602078693,0.8977777777777778
numpy_mlp_digits,9,0.24506185948848724,0.31026220321655273,0.9443207126948775,0.9066666666666666
numpy_mlp_digits,10,0.2241310179233551,0.28915977478027344,0.9458054936896808,0.9111111111111111
numpy_mlp_digits,11,0.20668333768844604,0.27281904220581055,0.9510022271714922,0.9177777777777778
numpy_mlp_digits,12,0.19178172945976257,0.2592752277851105,0.955456570155902,0.92
numpy_cnn_digits,1,2.2927145957946777,2.2925755977630615,0.06607275426874536,0.08
numpy_cnn_digits,2,2.286799907684326,2.286919116973877,0.04899777282850779,0.07111111111111111
numpy_cnn_digits,3,2.2803306579589844,2.2807278633117676,0.03414996288047513,0.051111111111111114
numpy_cnn_digits,4,2.2730507850646973,2.2739059925079346,0.034892353377876766,0.06
numpy_cnn_digits,5,2.264836311340332,2.2660892009735107,0.04083147735708983,0.06444444444444444
numpy_cnn_digits,6,2.2552740573883057,2.2568960189819336,0.050482553823311065,0.06666666666666667
numpy_cnn_digits,7,2.2440054416656494,2.2460029125213623,0.0779510022271715,0.08222222222222222
numpy_cnn_digits,8,2.231187105178833,2.233597993850708,0.10022271714922049,0.11333333333333333
numpy_cnn_digits,9,2.216417074203491,2.219247341156006,0.12100965107646622,0.12666666666666668
numpy_cnn_digits,10,2.1994333267211914,2.202726125717163,0.15293244246473645,0.18222222222222223
numpy_cnn_digits,11,2.18022084236145,2.184054136276245,0.20638455827765403,0.22666666666666666
numpy_cnn_digits,12,2.1585474014282227,2.1628639698028564,0.2650334075723831,0.2733333333333333
